2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  5,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  1,000đ
2023-03-25 21:51:51 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:51:51 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-25 21:52:33 | 123456 |  TRANSACTION |      -10,000đ |  900,000,000đ
2023-03-26 00:32:13 | 123456 |  TRANSACTION |      -10,000đ |  899,990,000đ
2023-03-26 00:55:09 | 123456 |         LOAN |       10,000đ |  900,000,000đ
2023-03-26 00:57:07 | 123456 |  TRANSACTION |     -100,000đ |  899,900,000đ
2023-03-26 01:01:32 | 123456 |  TRANSACTION |   -1,000,000đ |  898,900,000đ
2023-03-26 01:10:05 | 123456 |         LOAN |    1,000,000đ |  899,900,000đ
2023-03-26 01:10:50 | 123456 |         LOAN |    1,000,000đ |  900,900,000đ
2023-03-26 01:16:30 | 123456 |         LOAN |    1,000,000đ |  901,900,000đ
2023-03-26 01:17:51 | 123456 |  TRANSACTION |   -1,000,000đ |  900,900,000đ
2023-03-26 01:19:23 | 123456 |         LOAN |   10,000,000đ |  910,900,000đ
2023-03-26 01:25:55 | 123456 |  TRANSACTION |  -10,900,000đ |  900,000,000đ
2023-03-26 01:28:56 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:29:42 | 123456 |      SAVINGS |  100,000,000đ |  900,000,000đ
2023-03-26 01:32:00 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:34:52 | 123456 |      SAVINGS |    1,000,000đ |  800,000,000đ
2023-03-26 01:35:45 | 123456 |      SAVINGS |  100,000,000đ |  900,000,000đ
2023-03-26 01:36:10 | 123456 |  TRANSACTION | -100,000,000đ |  799,000,000đ
2023-03-26 01:37:10 | 123456 |         LOAN |        1,000đ |  799,000,990đ
2023-03-26 01:39:21 | 123456 |         LOAN |    1,000,000đ |  799,990,990đ
2023-03-26 01:44:43 | 123456 |      SAVINGS |        1,000đ |  799,991,990đ
2023-03-26 01:45:21 | 123456 |      SAVINGS |  200,002,010đ |  999,994,000đ
2023-03-26 01:45:44 | 123456 |      SAVINGS |        6,000đ | 1,000,000,000đ
